,en,cs,pl,de
signup_page.confirmation,password confirmation *,Potvrzení hesla  *,Potwierdź hasło  *,Passwort Bestätigen  *
signup_page.nameInvalid,Invalid name,Neplatné jméno,Niepoprawne imię lub nazwisko,Name ungültig
signup_page.phoneInvalid,Invalid phone number,Neplatné telefonní číslo,Niepoprawny numer telefonu,Telefonnummer ungültig
signup_page.emailInvalid,Invalid email address,Neplatná e-mailová adresa,Niepoprawny adres e-mail,Ungültige E-mail
signup_page.loginFailed,Login failed,Špatné přihlášení,Nie udało się zalogować,Anmeldung fehlgeschlagen
signup_page.minimumLength,Minimum length is,Minimální délka je,Długość minimum,Mindestlänge ist 
signup_page.noMatching,Not matching password.,Heslo se neshoduje,Hasło się nie zgadza,Passwort und Bestätigung stimmen nicht überein. 
signup_page.userNotCreated,"User was not created, it might exist already.","Uživatel nebyl vytvořen, možná již existuje","Nie udało się wytworzyć konta, być może już istnieje","Benutzer wurde nicht erstellt, wahrscheinlich gibt es ihn schon."
signup_page.loading,Loading,Načítám,Ładowanie,Laden
pageBase.Dashboard,Dashboard,Nástěnka,Tablica,Pinnwand
pageBase.Issues,Issues,Problémy,Problemy,
pageBase.Admin,Admin,Admin,Admin,Administrator
pageBase.Modules,Modules,Moduly,Moduły,Module
pageBase.marketingSettings,Marketing Settings,Marketingové nastavení,Ustawienia marketingowe,Marketing-Einstellungen
pageBase.reservationButton,Reservation Button,Tlačitko rezervace,Przycisk rezerwacji,Reservierungstaste
pageBase.mrParkitIntegration,Mr. Parkit Integration,Integrace MR.PARKIT,Integracja MR.PARKIT,MR.PARKIT Integration
pageBase.goPublic,Go Public,Nabídnout veřejnosti,Zaoferować publicznie,Öffentlich anbieten
pageBase.Garage setup,Garage setup,Nastavení garáže,Ustawienia garażu,Garage-Einstellungen
pageBase.garageSetupFloors,Garage floors,Patra garáže,Piętra garażu,Garagenetagen
pageBase.garageSetupGates,Garage gates,Brány garáže,Bramy garażu,Garagentore
pageBase.garageSetupOrder,Garage order,Pořadí obsazování,Kolejność zajmowania miejsc,Reihenfolge der Besetzung
pageBase.garageSetupSubscribtion,Garage subscribtion,Předplatné garáže,Abonament,Abonnement
pageBase.Finance,Finance,Finance,Finanse,Finanzen
pageBase.PID settings,PID settings,Nastavení PID,Ustawienia PID,PID-Einstellungen
pageBase.Activity log,Activity log,Záznam aktivit,Dziennik aktywności,Aktivitätsprotokoll
pageBase.Create reservation,Create reservation,Vytvořte rezervaci,Wytworzyć rezerwację,Buchung erstellen
pageBase.Create contract,Create agreement,Vytvořte dohodu,Wytworzyć umowę,Deal erstellen
pageBase.Add Features,Add Features,Přidat funkce,Dodać funkcje,Funktionen hinzufügen
pageBase.Reservation,Reservation,Rezervace,Rezerwacja,Reservierung
pageBase.Reservations,Reservations,Rezervace,Rezerwacje,Reservierungen
pageBase.Clients,Clients,Klienti,Klienci,Klienten
pageBase.Client & Users,Client accounts,Klientské účty,Konta klientów,Klientenkonten
pageBase.NewClient,New Client,Nový klient,Nowy klient,Ne
pageBase.NewContract,New agreement,Nová dohoda,Nowa umowa,Neue Vereinbarung
pageBase.EditClient,Edit Client,Upravit klienta,Edytować klienta,Klienten bearbeiten
pageBase.New Reservation,New Reservation,Nová rezervace,Nowa rezerwacja,Neue Reservierung
pageBase.NewGarage,Setup New Garage,Vytvoření nové garáže,Utworzyć nowy garaż,DE: pageBase.NewGarage
pageBase.newPricing,New pricing,Nový ceník,Nowy cennik,Neue Preisliste
pageBase.Pricings,Edit pricing,Upravit ceník,Edytować cennik,Preisliste bearbeiten
pageBase.newRent,New rent,Nový pronájem,Nowy najem,Neue Miete
pageBase.Rents,Edit rent,Upravit pronájem,Edytować najem,Miete bearbeiten
pageBase.Garages,Garages,Garáže,Garaże,Garagen
pageBase.Garage,Garage,Garáže,Garaż,Garagen
pageBase.Cars,Cars,Auta,Samochody,Fahrzeuge
pageBase.Profile,Profile,Profil,Profil,Profil
pageBase.Users,Users,Uživatelé,Użytkownicy,Benutzer
pageBase.Logout,Logout,Odhlášení,Wyloguj się,Ausloggen
pageBase.notifications,Notifications,Upozornění,Powiadomienia,Mitteilungen
pageBase.error,Error,Chyba,Błąd,Fehler
pageBase.success,Success,Úspěch,Sukces,Erfolg
pageBase.inviteUser,Invite new user,Pozvat nového uživatele,Zaprosić nowego użytkownika,Neuen Benutzer einladen
pageBase.dashboardHint,Here you can see a summary/ an overview of all important informations about your account.,Zde vidíte přehled všech důležitých informací o Vašem účtu.,Tutaj widzisz podsumowanie wszystkich ważnych informacji o swoim koncie.,
pageBase.issuesHint,TODO: Issues hint,,,
pageBase.analyticsHint,Here you can check various statistics.,Zde se můžete podívat na různé statistiky.,Tutaj możesz sprawdzić różne statystyki.,
pageBase.invoicesHint,"Here is a list of issued invoices. You can see the value, if they are paid or overdue, and much more.","Zde je seznam vystavených faktur. Na první pohled vidíte hodnotu, zda je faktura uhrazená či po splatnosti, a mnohem víc.","Tutaj znajduje się lista wystawionych faktur. Możesz sprawdzić ich wartość, stan płatności i o wiele więcej.",
pageBase.newContractHint,"Here you can create a new deal. Pick a client from the dropdown, or add a new one by entering his unique client id. Pick a rent from the dropdown or create a new one by entering the value of the whole deal and choose currency. Now assign parking places and that's it! :)","Zde můžete založit novou dohodu. Jednoduše vyberte klienta ze seznamu, nebo přidejte nového pomocí jeho unikátního ID. Vyberte nájem ze seznamu, nebo založte nový vyplněním ceny za celkovou dohodu a vyberte měnu. Nakonec vyberte místa a je to. :)","Tutaj możesz wytworzyć nową umowę. Wystarczy wybrać z listy klienta lub dodać nowego za pomocą unikalnego ID. Wybierz wynajem z listy albo załóż nowy, wypełniając cenę za umowę, a następnie wybierz walutę. Na końcu wybierz miejsca... i gotowe!",
pageBase.ReservationButtonHint,TODO: reservation button hint,,,
pageBase.mrParkitIntegrationHint,TODO: mrParkitIntegration hint,,,
pageBase.goPublicHint,TODO: goPublic hint,,,
pageBase.financeHint,TODO: finance hint,,,
pageBase.financePaypalHint,TODO: Paypal hint,,,
pageBase.financeCSOBHint,TODO: CSOB hint,,,
pageBase.pidSettingsHint,TODO: pidSettings Hint,,,
pageBase.activityLogHint,TODO: activityLog Hint,,,
pageBase.reservationsHint,Here you have a list of all reservations within your client account.,Zde najdete všechny rezervace pro Váš účet.,Tutaj znajdziesz wszystkie swoje rezerwacje.,DE: Here you have list of all reservations within your account.
pageBase.newReservationHint,"You can make a new reservation here. Please, first select user and the garage, then dates and eventually pick parking place. Voilá.","Zde můžete vytvořit novou rezervaci. Nejprve prosím vyberte uživatele a garáž, poté datum a eventuelně parkovací místo. Voilá.","Tutaj możesz dokonać nowej rezerwacji. Najpierw wybierz użytkownika i garaż, a następnie datę i miejsce parkingowe. Voilá!","DE: You can make a new reservation here. Please, first select user and the garage, then dates and eventually pick parking place. Voilá."
pageBase.newReservationOverviewHint,TODO: New reservation overview hint,,,
pageBase.garagesHint,TODO: garage hint,,,
pageBase.newGarageHint,"Create new garage. Set the name and details, then follow by defining the floors and Parking places. Two input options are available. You can load each floorplan in form of SVG image with information about Parking places. (We can help you to create this floorplan - see our website for more information) Second option is to define range of number for each level.","Vytvořte novou garáž. Zadejte název a detaily, dále pokračujte definováním podlaží a parkovacích míst. Tyto informace lze zadat dvěma způsoby. Můžete nahrát plánky jednotlivých pater ze souboru SVG s informacemi o parkovacích místech (s vytvořením souboru Vám rádi pomůžeme, více informací naleznete na našich stránkách). Druhá možnost je každému patru definovat počet míst.","Utwórz nowy garaż. Wprowadź nazwę i szczegóły, a następnie wybierz piętro i miejsce parkingowe. Informacje wprowadzić możesz za pomocą dwóch sposobów. Plan każdego piętra (floorplan) możesz wczytać z pliku SVG z informacjami o miejscach parkingowych (możemy Ci w tym pomóc - szczegóły na naszej stronie). Drugą możliwością jest zdefiniowanie numerów miejsc, które znajdują się na konkretnym piętrze.","DE: Create new garage. Set the name and details, then follow by defining the floors and Parking places. Two input options are available. You can load each floorplan in form of SVG image with information about Parking places. (We can help you to create this floorplan - see our website for more information) Second option is to define range of number for each level."
pageBase.newGarageFloorsHint,TODO: New garage floors Hint,,,
pageBase.newGarageOrderHint,TODO: New garage order Hint,,,
pageBase.newGarageSubscribtionHint,TODO: New garage subscribtion Hint,,,
pageBase.newGarageGatesHint,TODO: New garage gates Hint,,,
pageBase.garageClientsHint,Here you can manage which Parking  places are assigned to which Client account within selected garage. Just select Client account to see the plan of the garage and available places. Be aware garage might have more levels. Select desired level by the buttons on the right side.,,"Tutaj możesz zarządzać przypidaniem miejsc parkingowych do konkretnego klienta w ramach określonego garażu. Wybierz konto klienta, aby zobaczyć plan garażu oraz dostępne ceny. Pamiętaj, że garaż może mieć więcej pięter. Wybierz odpowiednie piętro za pomocą przycisku po prawej stronie.",
pageBase.clientsHint,"In this section you can manage Client accounts. Client account is a unit that gathers information about the client, its users, parking places they are allowed to use and such. Select an account to show action buttons for ""edit"" and ""manage users""",,"W tej sekcji możesz zarządzać kontami klienta. W koncie klienta znajdują się informacje na temat klienta, jego użytkowników oraz miejsc parkingowych, z których mogą korzystać. Wybierz konto, aby mieć dostęp do opcji ""Edytuj"" i ""Zarządzaj użytkownikami"".",
pageBase.newClientHint,"Here you are creating a new Client account. Client account is a unit that gathers information about the client, its users, parking places they are allowed to use and such. You will be able to set these in corresponding sections of the system.",,"Tutaj możesz utworzyć nowe konto klienta. Jest to sekcja, która zawiera informacje na temat klienta, jego użytkownikóa oraz miejsc parkingowych, z których mogą korzystać. Będziesz móc ustawić je w odpowiednich sekcjach systemu.",
pageBase.clientUsersHint,"This section allows for management of users of a particular Client account. By selecting a user you can see and setup user rights. You can as well invite new users to this selected Client account. Sent invitations, that are waiting for the confirmation are shown in the ""Pending invitations"" Section below",,"Ta sekcja umożliwia zarządzanie użytkownikami poszczególnego konta klienta. Wybierając użytkownika możesz zobaczyć i ustawić uprawnienia użytkownika. Możesz również zaprosić nowych użytkowników do wybranego konta klienta. Wysłane zaproszenia, które czekają na odpowiedź znajdziesz w sekcji ""Czekające zaproszenia"".",
pageBase.settingsHint,In this Settings section you are able to set your own preferences. Set your desired language. Switch on and off visbility of these blue boxes with help thru all application.,Zde můžete nastavit jazyk aplikace a pak zde můžete zapnout nebo vypnout zobrazování těchto okýnek s nápovědou v celé aplikaci.,Tutaj możesz ustawić język aplikacji oraz włączyć lub wyłączyć okna pomocy w całej aplikacji.,Einstellungen
pageBase.usersHint,Here you have a list of all known users. Select a user to see Client accounts membership.,Zde naleznete seznam všech uživatelů. Po zvolení uživatele se zobrazí jeho členství v zákaznických účtech,"Tutaj znajdziesz listę wszystkich użytkowników. Wybierz użytkownika, aby zobaczyć jego członkowstwo w kontach klienta.",DE: Here you have a list of all known users. Select a user to see Client accounts membership.
pageBase.allKnownUsers,All known users,Všichni známí uživatelé,Wszyscy znani użytkownicy,Alle bekannten Benutzer
pageBase.editClientHint,Here you can edit Client account details and its name.,Zde můžete upravit údaje o klientském účtu a jeho název,Tutaj możesz zmienić szczegóły konta oraz jego nazwę.,
pageBase.notificationsHint,Here are displayed all notifications that need to be resolved.,"Zde se zobrazují všechna upozornění, na které je potřeba odpovědět.","Tutaj ukazują się wszystkie wiadomości, na które musisz odpowiedzieć.",DE: pageBase.notificationsHint
pageBase.inviteUsersHint,"Invite new user to connect with selected Client Account. Please provide E-mail and send the invitation. After user accepts the invitation, he or she becomes automatically member of the selected Client Account.",,"Zaproś nowego użytkownika, aby połączyć się z wybranym kontem klienta. Podaj proszę e-mail i wyślij zaproszenie. Po zaakceptowaniu zaproszenia użytkownik staje się automatycznie członkiem wybranego Konta klienta.",
pageBase.addFeaturesHint,Here you can add functionality to your system. TODO: add features hint,Zde můžete přidat funkce do tvého systému.,Tutaj możesz dodaj funkcje do swojego systemu.,
pageBase.addFeatures,Add features,Přidat funkce,Dodać funkcje,
pageBase.newAccountHint,Here you can create new account that will store your money. TODO: new account hint,"Zde můžete vytvářet zákaznické účty. Ty v sobě obsahují informace o zákazníkovi, jeho uživatelích, k nim přiřazeným parkovacím místům atp. Toto vše lze nastavit v patřičné sekci systému.","Tutaj utworzyć możesz konto klienta. Konto zawiera informacje o kliencie, użytkownikach, przyporządkowanych im miejscach parkingowych itp. Ustawienia znajdziesz w odpowiedniej sekcji systemu.","DE: Here you are creating a new Client account. Client account is a unit that gathers information about the client, its users, parking places they are allowed to use and such. You will be able to set these in corresponding sections of the system."
pageBase.editAccountHint,Account properties editation. TODO: edit account hint,Zde můžete změnit údaje a název Klientského účtu.,Tutaj możesz zmienić dane i nazwę Konta klienta.,DE: pageBase.editAccountHint
pageBase.accountsHint,Here you can see all your account. TODO: accounts hint,"V této sekci můžete spravovat zákaznické účty. V zákaznickém účtu naleznete informace o zákazníkovi, jeho uživatelích, k nim přiřazeným parkovacím místům atp. Po zvolení účtu se zobrazí tlačítka pro editaci a správu uživatelů.","W tej sekcji możesz zarządzać kontami klienta. Znajdziesz w nich informacje o kliencie, użytkownikach, przyporządkowanych do nich miejscach parkingowych itp. Po wybraniu konta pojawią się przyciski umożliwiające edytowanie i zarządzanie użytkownikami.","DE: In this section you can manage Client accounts. Client account is a unit that gathers information about the client, its users, parking places they are allowed to use and such. Select an account to show action buttons for ""edit"" and ""manage users"""
pageBase.accounts,Accounts,Účty,Konta,
pageBase.newAccount,New account,Nový účet,Nowe konto,
pageBase.editAccount,Edit account,Upravit účet,Edytuj konto,
pageBase.carUsersHint,Here you can manage people using the cars. TODO: user car hint,"Zde můžete spravovat lidi, kteří používají auta.","Tutaj możesz zarządzać ludźmi, którzy korzystają z aut.",
pageBase.newCarHint,Here you can create new car. Creating new reservation will be easier than. TODO: new car hint,Zde můžete vytvořit nové auto. Vytvoření nové rezervace bude poté jednodušší.,Tutaj możesz wytworzyć nowe auto. Dzięki temu dokonanie nowej rezerwacji będzie łatwiejsze.,
pageBase.editCarHint,Here you can edit car properties. TODO: edit car hint,Zde můžete upravit vlastnosti auta.,Tutaj możesz edytować właściwości auta.,
pageBase.carsHint,This is list of all cars assigned to you.+ TODO: cars hint,"Toto je seznam všech aut, která jsou k Vám přiřazena.",Lista wszystkich przypisanych do Ciebie aut,
pageBase.cars,Cars,Auta,Auta,
pageBase.newCar,New car,Nové auto,Nowe auto,
pageBase.editCar,Edit car,Upravit auto ,Edytować auto,
pageBase.OccupancyOverview,Occupancy overview,Přehled obsazenosti,Przegląd stanu garażu,
pageBase.OccupancyOverviewHint,TODO: Occupancy overview hint,,,
pageBase.EditGarage,Edit garage,Upravit garáž,Edytować garaż,
pageBase.EditGarageHint,TODO: Edit garage hint,,,
pageBase.Occupancy,Occupancy,Obsazenost,Stan garażu,
pageBase.Invoices,Invoices,Faktury,Faktury,
pageBase.tableView,table view,Náhled tabulky,Widok tabelki,
pageBase.cardView,card view,Náhled karty,Widok karty,
pageBase.marketing,Marketing,Marketing,Marketing,
pageBase.newMarketing,New marketing,Nový marketing,Nowy marketing,
pageBase.editMarketing,Edit marketing,Upravit marketing,Edytować marketing,
pageBase.garageMarketingHint,Here you can manage marketing for your garage. TODO: Change this,Zde můžete spravovat marketing pro tvoji garáž.,Tutaj możesz zarządzać marketingiem swojego garażu.,
pageBase.garageNewMarketingHint,Here you can setup new marketing. TODO: Change this,Zde můžete nastavit nový marketing.,Tutaj możesz ustawić nowy marketing.,
pageBase.garageEditMarketingHint,Here you can manage edit marketing. TODO: Change this,Zde můžete spravovat úpravu marketingu.,Tutaj możesz zarządzać edycją marketingu.,
pageBase.garageNewPricingHint,Here you can set up new reservations pricing. TODO: New pricing Hint,Zde můžete nastavit novou cenu rezervace,Tutaj możesz ustawić nową cenę rezerwacji.,
pageBase.garageEditPricingHint,Here you can edit pricing properties. TODO: Edit pricing hint,Zde můžete upravit vlastnosti ceny,Tutaj możesz edytować właściwości ceny.,
pageBase.garageNewRentHint,Here you can set up new rent for your places. TODO: New rent hint,Zde můžete nastavit nový pronájem za svoje místa,Tutaj możesz ustawić nowy wynajem swoich miejsc.,
pageBase.garageEditRentHint,Now you can edit rent properties. TODO: Edit rent hint,Zde můžete upravit vlastnosti pronájmu,Tutaj możesz edytować właściwości wynajmu.,
pageBase.garageAddClientHint,Here you can add client to garage management page. TODO: add client to management hint,Zde můžete přidat klienta na stránky se správou garáží,Tutaj możesz dodać klienta do strony zarządzania garażem.,
pageBase.garageGarageUsersHint,Here you can manage who can manage your garage. TODO: Garage users management,"Zde můžete řídit, kdo může spravovat tvoji garáž.","Tutaj możesz wybrać, kto może zarządzać twoim garażem.",
pageBase.EditUserHint,Here it is possible to change information about yourself.,Zde můžete změnit svoje údaje.,Tutaj możesz zmienić swoje dane.,
pageBase.unredNotifications.one,You have one unread notification,Máte jedno nepřečtené upozornění,Masz jedną nieprzeczytaną wiadomość.,
pageBase.unredNotifications.other,You have %(count)s unread notifications,Máte %(count)s nepřečtených upozornění,Masz %(count)s nieprzeczytanych wiadomości.,
pageBase.analytics,Analytics,Analýza,Analiza,
pageBase.garageTurnover,Garage turnover,Obrat garáže,Obroty garażu,
pageBase.reservations,Reservations,Rezervace,Rezerwacje,
pageBase.places,Places turnover,Obrat míst,Miejsca,
pageBase.payments,Payments,Platby,Płatności,
pageBase.gates,Gates,Brány,Bramy,
pageBase.analyticsGarageTurnoverHint,TODO: GarageTurnover Hint,,,
pageBase.analyticsreservationsHint,TODO: reservations Hint,,,
pageBase.analyticsplacesHint,TODO: places Hint,,,
pageBase.analyticspaymentsHint,TODO: payments Hint,,,
pageBase.analyticsgatesHint,TODO: gates Hint,,,
pageBase.orderGarageModuleHint,TODO: order Garage Module hint: Here you can order a garage module.,,,
pageBase.reservationOverviewHint,TODO: new reservation overview hint: Here you can double check if evetything is ok.,,,
pageBase.editInvoiceHint,"TODO: edit invoice hint: Afther clicking OK, new incoice will be created with corrected data.",,,
pageBase.editClientHint,TODO: edit client hint: Here it is possible to change information about this client.,,,
pageBase.editContractHint,TODO: edit contract hint: Here you can edit selected contract. Change places or duration or price.,,,
newReservation.selectGarage,Select garage *,Vyberte garáž *,Wybierz garaż *,Wählen Sie eine Garage *
newReservation.selectUser,Select user *,Vyberte uživatele *,Wybierz użytkownika *,Wählen Sie einen Benutzer aus *
newReservation.selectClient,Select client,Vyberte klienta,Wybierz klienta,Wählen Sie einen Klient  *
newReservation.selectCar,Select car *,Vyberte auto *,Wybierz auto,Wählen sie einf Fahrzeug  *
newReservation.begins,Begins,Začíná,Od,Beginnt
newReservation.invalidaDate,Invalid date,Neplatné datum,Niepoprawna data,Ungültiges Datum
newReservation.invalidPlace,Invalid place,Neplatné místo,Niepoprawne miejsce,Ungültiger Platz
newReservation.invalidaValue,Invalid value,Neplatná hodnota,Niepoprawna wartość,Ungültiger Wert
newReservation.ends,Ends,Končí,Do,endet
newReservation.duration,duration,Délka,Okres,Dauer
newReservation.date,date,Datum,Data,Datum
newReservation.place,Place,Místo,Miejsce,Ort
newReservation.auto,auto,Automaticky,automatycznie,Automatisch
newReservation.Auto,Auto,Automaticky,Automatycznie,Automatisch
newReservation.now,now,nyní,teraz,jetzt
newReservation.fail,Reservation error,Chyba při vytváření rezervace,Podczas rezerwacji pojawił się błąd,Reservierungsfehler
newReservation.noAvailableGarages,There are currently no available garages where you can create reservation.,"Momentálně nejsou dostupné žádné garáže, kde můžete vytvořtit novou rezervaci.","Obecnie nie ma żadnych dostępnych garaży, aby utworzyć nową rezerwację.","Zurzeit gibt es keine Garagen, in denen Sie reservieren können."
newReservation.licencePlate,Licence plate,SPZ,Nr rejestracyjny,Kennzeichen
newReservation.licencePlateInvalid,Licence plate,SPZ,Nr rejestracyjny,Kennzeichen
newReservation.licencePlatePlaceholder,1A2 1234,1A2 1234,1A2 1234,B048925
newReservation.price,Price,Cena,Cena,Preis
newReservation.onClientsExpenses,On clients expenses.,Na náklady klienta.,Na koszt klienta.,
newReservation.loadingGarage,Loading garage layout ...,Načítám náhled garáže ...,Ładuję podgląd garażu...,
newReservation.creatingReservation,Creating reservation ...,Vytvářím rezervaci ...,Wytwarzam rezerwację...,
newReservation.updatingReservation,Updating reservation ...,Aktualizuji rezervaci ...,Aktualizuję rezerwację...,
newReservation.redirecting,Redirecting ...,Přesměrovávám ...,Przekierowuję...,
newReservation.payingReservation,Paying reservation ...,Platím rezervaci ...,Opłacam rezerwację...,
newReservation.paymentUnsucessfull,Payment was canceled and unsuccessfull.,Platba byla zrušena a neúspěšná,Płatność została anulowana.,
newReservation.validtyCheck,Performing validity check ...,Provádím kontrolu platnosti ...,Kontroluję płatność...,
newReservation.tokenInvalid,This transaction is no longer valid and reservation will be deleted.,Tato transakce již není platná a rezervace bude smazána,Ta transakcja nie jest już ważna. Rezerwacja zostanie usunięta.,
newReservation.creatingNewPayment,Creating payment ...,Vytvářím platbu ...,Wytwarzam płatność...,
clients.name,name,jméno,Nazwa klienta,
clients.id,id,id,ID,
clients.from,from,od,od,
clients.created,Created,vytvořeno,utworzone,
clients.users,users,uživatelé,użytkownicy,
clients.token,client token,,,
clientUsers.name,username,uživatelské jméno,nazwa użytkownika,Benutzername
clientUsers.email,e-mail,e-mail,e-mail,E-Mail
clientUsers.memberSince,member since,členem od,członek od,Mitglied seit
clientUsers.phone,phone,telefon,telefon,Telefon
clientUsers.admin,is admin,je admin,jest adminem,ist Administrator
clientUsers.secretary,Secretary,Sekretář/ka,Sekretarz/Sekretarka,Sekretär/in
clientUsers.internal,Internal,Interní,Wewnętrzny,Intern
clientUsers.host,is host,je host,jest gościem,ist Gast
clientUsers.presetAs,Preset as,Nastavit jako,Ustaw jako,Einstellen als
clientUsers.removeClientUser,Are you sure you want to remove this user?,Určitě chcete odstranit tohoto uživatele?,Czy na pewno chcesz usunąć użytkownika?,Möchten Sie wirklich diesen Benutzer entfernen?
clientUsers.pendingUsers,Pending invitations,Nevyřízené pozvánky,Zaproszenia czekające na odpowiedź,Offene Einladungen
reservations.name,User,jméno,Użytkownik,Name
reservations.from,from,od,od,Von
reservations.to,to,do,do,Nach
reservations.place,place,místo,Miejsce,Ort
reservations.client,Client,Klient,Klient,Klient
reservations.licencePlate,licence plate,,Numer rejestracyjny,
reservations.state,state,stát,Państwo,Staat
reservations.type,type,typ,Typ,Typ
reservations.creator,Creator,Založil,utworzył,erstellt von
reservations.garage,Garage,Garáž,Garaż,Garage
reservations.createdAt,created at:,vytvořeno:,utworzone:,erstellt:
reservations.updatedAt,updated at:,aktualizováno:,zaktualizowane:,aktualisiert:
reservations.removeReservationQuestion,Are you sure you want to remove this reservation?,Určitě chcete odstranit tuto rezervaci?,Czy na pewno chcesz usunąć rezerwację?,Möchten Sie wirklich diese Reservierung entfernen?
reservations.reservationApproved,Reservation was not approved yet.,Rezervace zatím nebyla schválena.,Rezerwacja nie została jeszcze zaakceptowana.,Reservierung ist noch nicht bestätigt worden.
reservations.reservationNotPayed,Reservation was not payed.,Rezervace nebyla zaplacena.,Rezerwacja nie została opłacona.,Reservierung ist noch nicht bezahlt worden.
reservations.pay,Pay,Platba,Płatność,Zahlung
reservations.host,Host,Host,Gość,Gast
reservations.visitor,Visitor,Návštěvník,Odwiedzający,Besucher
garages.clients,Clients,Klienti,Klienci,Klienten
garages.contracts,Agreements,Dohody,Umowy,
garages.reservations,Reservations,Rezervace,Rezerwacje,Reservierung
garages.prices,Prices,Ceny,Ceny,Preise
garages.cars,Cars,Auta,Auta,Fahrzeuge
garages.now,Now,Nyní,Teraz,Jetzt
garages.setDate,Set date,Nastavit datum,Ustawić datę,Datum einstellen
garages.client,Client:,Klient:,Klient:,Klient
garages.contract,Agreement:,Dohoda:,Umowa:,
garages.priceType,Price type:,Typ ceny:,Typ ceny:,Preistyp:
garages.pricePerSpot,Price per spot:,Cena za místo:,Cena za miejsce:,Preis für Platz:
garages.12HourPrice,12 hour price:,Cena za 12 hodin:,Cena za 12 godzin:,Preis für 12 Stunden:
garages.dayPrice,day price:,denní cena:,Cena za dzień:,Preis für einen Tag:
garages.weekPrice,week price:,týdenní cena:,Cena za tydzień:,Preis für eine Woche:
garages.monthPrice,month price:,měsíční cena:,Cena za miesiąc:,Preis für ein Monat:
garages.weekendPrice,weekend price:,víkendová cena,Weekendowa cena:,
garages.flatPrice,flat price:,pevná cena:,Stała cena:,Festpreis:
garages.reservationId,Reservation id:,Id rezervace:,ID rezerwacji:,Reservierungsnummer:
garages.driver,Driver:,Řidič:,Kierowca:,Fahrer:
garages.type,Type:,Typ:,Typ:,Typ:
garages.period,Period:,Období:,Okres:,Termin:
garages.licencePlate,Licence plate:,SPZ:,Nr rejestracyjny:,Kennzeichen
garages.longterm,Longterm,Dlouhodobý,Długoterminowo,
garages.shortterm,Shortterm,Krátkodobý,Krótkoterminowo,
garages.placeRent,Rents,Nájmy,Wynajmy,Mieten
garages.rentName,Rent name,Jméno nájmu,Nazwa wynajmu,Name der Miete
garages.price,Price,Cena,Cena,Preis
garages.places,Places,Místa,Miejsca,Plätze
occupancy.selectClientClient,Select client,Vybrat klienta,Wybrać klienta,Klienten wählen
occupancy.allReservations,All reservations,Všechny rezervace,Wszystkie rezerwacje,Alle Buchungen
